,unit,cycle,os1,os2,m2,m3,m4,m6,m7,m8,m9,m11,m12,m13,m14,m15,m17,m20,m21,rul
0,1,1,-0.0007,-0.0004,641.82,1589.7,1400.6,21.61,554.36,2388.06,9046.19,47.47,521.66,2388.02,8138.62,8.4195,392,39.06,23.419,192
1,1,2,0.0019,-0.0003,642.15,1591.82,1403.14,21.61,553.75,2388.04,9044.07,47.49,522.28,2388.07,8131.49,8.4318,392,39.0,23.4236,191
2,1,3,-0.0043,0.0003,642.35,1587.99,1404.2,21.61,554.26,2388.08,9052.94,47.27,522.42,2388.03,8133.23,8.4178,390,38.95,23.3442,190
3,1,4,0.0007,0.0,642.35,1582.79,1401.87,21.61,554.45,2388.11,9049.48,47.13,522.86,2388.08,8133.83,8.3682,392,38.88,23.3739,189
4,1,5,-0.0019,-0.0002,642.37,1582.85,1406.22,21.61,554.0,2388.06,9055.15,47.28,522.19,2388.04,8133.8,8.4294,393,38.9,23.4044,188
5,1,6,-0.0043,-0.0001,642.1,1584.47,1398.37,21.61,554.67,2388.02,9049.68,47.16,521.68,2388.03,8132.85,8.4108,391,38.98,23.3669,187
6,1,7,0.001,0.0001,642.48,1592.32,1397.77,21.61,554.34,2388.02,9059.13,47.36,522.32,2388.03,8132.32,8.3974,392,39.1,23.3774,186
7,1,8,-0.0034,0.0003,642.56,1582.96,1400.97,21.61,553.85,2388.0,9040.8,47.24,522.47,2388.03,8131.07,8.4076,391,38.97,23.3106,185
8,1,9,0.0008,0.0001,642.12,1590.98,1394.8,21.61,553.69,2388.05,9046.46,47.29,521.79,2388.05,8125.69,8.3728,392,39.05,23.4066,184
9,1,10,-0.0033,0.0001,641.71,1591.24,1400.46,21.61,553.59,2388.05,9051.7,47.03,521.79,2388.06,8129.38,8.4286,393,38.95,23.4694,183
10,1,11,0.0018,-0.0003,642.28,1581.75,1400.64,21.61,554.54,2388.05,9049.61,47.15,521.4,2388.01,8140.58,8.434,392,38.94,23.4787,182
11,1,12,0.0016,0.0002,642.06,1583.41,1400.15,21.61,554.52,2388.09,9049.37,47.18,521.8,2388.02,8134.25,8.3938,391,39.06,23.366,181
12,1,13,-0.0019,0.0004,643.07,1582.19,1400.83,21.61,553.44,2388.12,9046.82,47.38,521.85,2388.08,8128.1,8.4152,393,38.93,23.2757,180
13,1,14,0.0009,-0.0,642.35,1592.95,1399.16,21.61,554.48,2388.09,9047.37,47.44,521.67,2388.0,8134.43,8.3964,393,39.18,23.3826,179
14,1,15,-0.0018,-0.0003,642.43,1583.82,1402.13,21.61,553.64,2388.11,9052.22,47.3,522.5,2388.08,8127.56,8.4199,391,38.99,23.35,178
15,1,16,0.0006,0.0005,642.13,1587.98,1404.5,21.61,553.94,2388.05,9049.34,47.24,521.49,2388.07,8136.11,8.3936,392,38.97,23.455,177
16,1,17,0.0002,0.0002,642.58,1584.96,1399.95,21.61,553.8,2388.06,9054.92,47.12,521.89,2388.04,8137.27,8.4542,392,38.81,23.3319,176
17,1,18,-0.0031,-0.0001,642.62,1591.04,1396.12,21.61,554.2,2388.05,9049.55,47.21,521.76,2388.07,8132.73,8.4028,392,38.89,23.3987,175
18,1,19,0.0032,-0.0003,641.79,1587.56,1400.35,21.61,554.18,2388.04,9053.99,47.4,521.89,2388.03,8129.13,8.4321,391,38.8,23.3464,174
19,1,20,-0.0037,0.0001,643.04,1581.11,1405.23,21.61,554.81,2388.05,9045.9,47.22,522.07,2388.02,8129.71,8.421,392,39.03,23.422,173
20,1,21,-0.0012,0.0001,642.37,1586.07,1398.13,21.61,554.08,2388.11,9048.15,47.15,522.42,2388.08,8134.02,8.4049,392,39.09,23.3101,172
21,1,22,0.0002,0.0,642.77,1592.93,1400.57,21.61,553.63,2388.04,9061.21,47.24,522.0,2388.03,8130.41,8.4034,392,38.92,23.3792,171
22,1,23,0.0034,-0.0003,642.14,1588.19,1394.75,21.61,553.98,2388.05,9046.28,47.25,521.52,2388.05,8127.9,8.424,392,38.94,23.4562,170
23,1,24,-0.001,0.0003,642.38,1590.83,1398.81,21.61,553.49,2388.12,9043.76,47.44,522.13,2388.03,8133.88,8.3891,392,39.0,23.3696,169
24,1,25,0.0023,-0.0004,642.77,1594.1,1399.39,21.61,554.0,2388.02,9054.16,47.36,522.56,2388.02,8136.61,8.3917,393,38.95,23.4288,168
25,1,26,0.0,0.0002,642.16,1589.08,1396.07,21.61,554.11,2388.07,9047.11,47.26,522.28,2388.06,8131.15,8.426,394,38.86,23.4149,167
26,1,27,-0.0012,-0.0004,642.44,1590.47,1401.84,21.61,554.07,2388.02,9047.96,47.37,522.0,2388.13,8134.6,8.4046,393,38.99,23.4472,166
27,1,28,-0.0024,0.0005,642.35,1582.84,1399.13,21.61,554.68,2388.12,9049.84,47.41,522.57,2388.08,8127.3,8.4323,390,39.01,23.2841,165
28,1,29,0.0012,-0.0001,641.91,1584.83,1400.99,21.61,554.25,2388.05,9050.47,47.24,522.41,2388.06,8133.06,8.4189,393,38.93,23.3597,164
29,1,30,-0.0022,0.0,642.2,1593.52,1396.08,21.61,554.37,2388.07,9045.62,47.4,522.19,2388.0,8137.86,8.4065,390,39.05,23.411,163
30,1,31,0.0014,0.0005,642.02,1584.18,1396.9,21.61,554.13,2388.08,9058.78,47.41,521.95,2388.06,8125.28,8.4104,392,38.94,23.3353,162
31,1,32,0.0005,-0.0003,642.33,1591.38,1400.36,21.61,554.96,2388.04,9050.97,47.25,521.92,2388.07,8129.7,8.4148,392,39.02,23.4999,161
32,1,33,-0.0042,-0.0004,642.71,1588.4,1402.43,21.61,554.61,2388.04,9047.13,47.28,521.91,2388.08,8134.42,8.3753,392,38.83,23.3506,160
33,1,34,0.0015,-0.0001,642.54,1581.47,1400.48,21.61,554.3,2388.03,9046.46,47.47,521.7,2388.09,8126.61,8.4349,392,38.81,23.3092,159
34,1,35,0.0003,0.0002,642.44,1590.0,1403.0,21.61,554.3,2388.04,9045.76,47.31,521.75,2388.01,8140.17,8.443,391,39.13,23.4164,158
35,1,36,-0.0004,-0.0002,642.54,1581.72,1405.54,21.61,554.53,2388.01,9044.56,47.25,522.32,2388.04,8132.48,8.4246,392,38.86,23.4308,157
36,1,37,-0.0004,-0.0,641.99,1579.11,1398.9,21.61,554.63,2388.07,9055.44,47.29,522.29,2388.04,8131.95,8.4142,392,38.99,23.4352,156
37,1,38,-0.0018,-0.0002,641.93,1589.6,1399.5,21.61,554.7,2388.08,9055.27,47.27,522.42,2388.08,8136.61,8.4158,392,39.06,23.4768,155
38,1,39,-0.003,-0.0001,642.01,1583.21,1400.69,21.61,553.97,2388.02,9051.76,47.12,522.23,2388.05,8131.81,8.414,392,38.7,23.3699,154
39,1,40,-0.0,-0.0004,642.24,1582.08,1401.77,21.61,554.57,2388.06,9052.98,47.33,521.84,2388.01,8131.03,8.3784,392,38.84,23.3769,153
40,1,41,0.0033,0.0004,642.4,1591.31,1403.21,21.61,553.72,2388.06,9048.99,47.09,522.07,2388.03,8138.08,8.437,392,39.13,23.4444,152
41,1,42,0.0005,-0.0004,642.12,1584.66,1401.38,21.61,553.94,2388.08,9057.06,47.49,522.23,2388.05,8130.88,8.4137,392,39.0,23.375,151
42,1,43,-0.0027,0.0005,642.24,1591.52,1406.05,21.61,553.68,2388.03,9057.88,47.32,522.74,2388.09,8127.22,8.4068,392,38.99,23.3148,150
43,1,44,-0.0001,0.0002,641.93,1586.94,1401.2,21.61,554.15,2388.04,9046.87,47.45,522.3,2388.0,8131.45,8.4201,392,39.06,23.4753,149
44,1,45,-0.0013,-0.0,642.53,1582.42,1399.16,21.61,553.83,2388.08,9060.32,47.45,521.73,2388.05,8128.31,8.4099,393,38.79,23.3943,148
45,1,46,0.0003,0.0001,642.43,1588.29,1401.27,21.61,553.76,2388.06,9060.38,47.2,522.02,2388.08,8128.71,8.3977,393,38.93,23.3745,147
46,1,47,0.0,0.0005,642.21,1580.32,1402.89,21.61,554.38,2388.06,9052.04,47.22,521.84,2388.05,8126.21,8.3973,392,38.99,23.4873,146
47,1,48,0.0019,0.0001,641.89,1588.51,1399.16,21.61,554.02,2388.08,9045.26,47.4,521.91,2388.06,8129.99,8.4376,392,38.94,23.365,145
48,1,49,-0.0014,0.0005,642.23,1584.35,1397.76,21.61,554.23,2388.07,9050.64,47.22,521.37,2388.04,8135.48,8.4151,392,39.06,23.4498,144
49,1,50,-0.0032,-0.0001,642.77,1588.49,1403.62,21.61,553.92,2388.06,9048.6,47.47,522.33,2388.09,8127.3,8.4116,392,38.85,23.4106,143
50,1,51,-0.001,0.0003,642.81,1585.54,1400.42,21.61,553.73,2388.02,9047.09,47.12,521.91,2388.05,8134.36,8.4504,393,38.94,23.3651,142
51,1,52,0.0018,-0.0001,642.76,1583.77,1395.57,21.61,553.04,2388.04,9056.01,47.07,522.1,2388.07,8132.82,8.4539,391,39.0,23.3388,141
52,1,53,0.0021,-0.0001,642.61,1579.82,1402.26,21.61,554.16,2388.05,9051.15,47.29,521.96,2388.06,8134.38,8.4418,392,38.9,23.3775,140
53,1,54,-0.0002,0.0005,642.42,1592.59,1401.2,21.61,553.95,2388.04,9056.29,47.38,522.44,2388.06,8129.95,8.4189,392,38.96,23.2348,139
54,1,55,0.0009,-0.0,642.41,1584.95,1401.58,21.61,554.45,2388.04,9048.94,47.4,522.11,2388.02,8134.1,8.4071,392,39.06,23.3567,138
55,1,56,0.0007,-0.0002,642.49,1586.33,1400.76,21.61,553.98,2388.01,9042.42,47.26,522.48,2388.04,8135.4,8.4022,391,38.68,23.3408,137
56,1,57,-0.0033,0.0,642.13,1583.67,1402.79,21.61,553.42,2388.05,9050.8,47.29,521.62,2388.08,8135.48,8.4263,392,38.84,23.3567,136
57,1,58,-0.0014,0.0001,641.9,1590.46,1397.99,21.61,554.14,2388.09,9050.33,47.26,522.21,2388.04,8132.08,8.4319,390,38.93,23.2893,135
58,1,59,-0.0006,0.0002,642.33,1596.72,1403.51,21.61,554.62,2388.07,9050.06,47.26,521.32,2388.02,8128.81,8.4476,392,38.92,23.4444,134
59,1,60,-0.001,-0.0002,642.34,1582.75,1403.07,21.61,554.0,2388.06,9051.69,47.41,522.49,2388.03,8132.89,8.3878,393,38.89,23.387,133
60,1,61,0.0004,0.0005,642.1,1583.55,1405.52,21.61,554.09,2388.11,9050.58,47.31,522.34,2388.09,8131.66,8.4264,391,38.89,23.3638,132
61,1,62,0.0004,0.0001,642.17,1581.59,1399.54,21.61,554.45,2388.1,9053.62,47.28,522.19,2388.1,8132.28,8.4071,391,39.03,23.2707,131
62,1,63,0.0015,0.0002,642.6,1592.14,1395.38,21.61,553.48,2388.06,9049.96,47.51,521.56,2388.01,8130.73,8.4357,394,38.77,23.3436,130
63,1,64,0.0017,0.0002,642.23,1584.51,1400.11,21.61,553.88,2388.1,9043.67,47.45,521.82,2388.04,8128.15,8.4066,391,38.93,23.384,129
64,1,65,-0.0,0.0005,642.28,1584.72,1403.24,21.61,553.97,2388.03,9044.01,47.56,521.54,2388.13,8132.94,8.4406,392,38.9,23.3752,128
65,1,66,-0.0007,-0.0004,642.5,1588.5,1399.52,21.61,554.0,2388.06,9059.45,47.14,521.76,2388.05,8128.32,8.3911,391,38.95,23.3152,127
66,1,67,0.0016,-0.0004,642.33,1590.22,1403.02,21.61,554.31,2388.1,9050.24,47.39,522.64,2388.08,8134.07,8.3925,393,38.97,23.291,126
67,1,68,-0.0018,0.0,642.51,1582.06,1404.42,21.61,554.04,2388.1,9051.78,47.36,521.72,2388.07,8132.39,8.4242,392,38.95,23.3174,125
68,1,69,-0.0022,0.0005,642.44,1590.7,1401.24,21.61,554.65,2388.07,9050.59,47.41,522.22,2388.1,8129.13,8.4292,392,39.0,23.3742,124
69,1,70,-0.0005,0.0002,642.22,1584.02,1402.78,21.61,554.01,2388.11,9053.43,47.41,521.93,2388.12,8130.36,8.4279,392,38.86,23.4513,123
70,1,71,0.0016,-0.0003,642.21,1580.41,1403.09,21.61,554.06,2388.03,9046.09,47.3,521.72,2388.09,8134.28,8.423,391,38.8,23.3881,122
71,1,72,-0.0017,0.0001,642.41,1579.25,1406.81,21.61,553.76,2388.07,9054.42,47.27,521.97,2388.09,8133.95,8.3951,391,38.84,23.3085,121
72,1,73,-0.0012,-0.0002,642.29,1592.04,1397.93,21.61,553.88,2388.03,9049.64,47.29,522.04,2388.1,8129.85,8.404,391,39.03,23.3975,120
73,1,74,0.0027,0.0001,642.96,1584.65,1401.48,21.61,554.03,2388.07,9045.85,47.58,522.25,2387.97,8132.67,8.4135,392,38.8,23.382,119
74,1,75,0.0009,-0.0004,641.96,1582.32,1394.82,21.61,553.6,2388.07,9042.32,47.22,521.77,2388.11,8130.13,8.4621,392,38.89,23.3521,118
75,1,76,-0.0015,0.0002,642.21,1589.21,1398.94,21.61,553.66,2388.02,9056.55,47.44,521.58,2388.03,8136.44,8.3996,390,39.02,23.4428,117
76,1,77,0.0022,0.0004,642.55,1586.3,1400.97,21.61,554.61,2388.06,9046.44,47.41,521.6,2388.08,8135.25,8.453,393,38.99,23.275,116
77,1,78,0.004,0.0002,641.99,1580.76,1404.1,21.61,553.47,2388.08,9042.37,47.4,522.28,2388.16,8133.91,8.3793,392,38.88,23.3486,115
78,1,79,0.0022,-0.0002,642.12,1582.46,1403.93,21.61,553.77,2388.04,9047.86,47.35,521.85,2388.13,8135.4,8.4132,394,38.9,23.3121,114
79,1,80,-0.0002,-0.0004,641.94,1591.96,1393.58,21.61,553.91,2388.06,9043.67,47.64,521.52,2388.1,8134.66,8.4235,392,38.89,23.3613,113
80,1,81,-0.0018,-0.0004,642.73,1584.82,1402.04,21.61,553.88,2388.1,9045.31,47.43,521.66,2388.05,8128.87,8.4247,392,38.77,23.373,112
81,1,82,-0.0012,0.0001,642.04,1589.07,1399.17,21.61,554.18,2388.1,9048.22,47.25,521.95,2388.03,8134.04,8.3986,393,38.89,23.2713,111
82,1,83,0.0004,0.0005,642.66,1588.05,1406.38,21.61,553.49,2388.08,9049.08,47.22,521.93,2388.05,8131.32,8.4128,391,38.8,23.3274,110
83,1,84,0.0005,0.0002,642.64,1585.52,1406.6,21.61,553.91,2388.05,9050.47,47.38,521.54,2388.06,8131.54,8.4139,392,38.73,23.2653,109
84,1,85,0.0025,0.0003,642.28,1590.12,1405.96,21.61,554.4,2388.01,9056.08,47.36,522.3,2388.05,8135.31,8.4499,392,39.01,23.284,108
85,1,86,-0.0012,0.0004,641.84,1588.8,1403.56,21.61,553.69,2388.1,9047.26,47.38,521.82,2388.09,8130.06,8.4173,394,38.94,23.3945,107
86,1,87,0.0,-0.0004,642.33,1586.69,1413.1,21.61,554.1,2388.14,9050.52,47.34,521.43,2388.06,8130.41,8.4326,391,38.88,23.3402,106
87,1,88,0.0029,0.0003,641.96,1581.29,1406.09,21.61,554.48,2388.07,9046.73,47.46,522.2,2388.04,8131.47,8.4586,392,38.9,23.3086,105
