,unit,cycle,m6,os2
0,1,1,21.61,-0.0004
1,1,2,21.61,-0.0003
2,1,3,21.61,0.0003
3,1,4,21.61,0.0
4,1,5,21.61,-0.0002
5,1,6,21.61,-0.0001
6,1,7,21.61,0.0001
7,1,8,21.61,0.0003
8,1,9,21.61,0.0001
9,1,10,21.61,0.0001
10,1,11,21.61,-0.0003
11,1,12,21.61,0.0002
12,1,13,21.61,0.0004
13,1,14,21.61,-0.0
14,1,15,21.61,-0.0003
15,1,16,21.61,0.0005
16,1,17,21.61,0.0002
17,1,18,21.61,-0.0001
18,1,19,21.61,-0.0003
19,1,20,21.61,0.0001
20,1,21,21.61,0.0001
21,1,22,21.61,0.0
22,1,23,21.61,-0.0003
23,1,24,21.61,0.0003
24,1,25,21.61,-0.0004
25,1,26,21.61,0.0002
26,1,27,21.61,-0.0004
27,1,28,21.61,0.0005
28,1,29,21.61,-0.0001
29,1,30,21.61,0.0
30,1,31,21.61,0.0005
31,1,32,21.61,-0.0003
32,1,33,21.61,-0.0004
33,1,34,21.61,-0.0001
34,1,35,21.61,0.0002
35,1,36,21.61,-0.0002
36,1,37,21.61,-0.0
37,1,38,21.61,-0.0002
38,1,39,21.61,-0.0001
39,1,40,21.61,-0.0004
40,1,41,21.61,0.0004
41,1,42,21.61,-0.0004
42,1,43,21.61,0.0005
43,1,44,21.61,0.0002
44,1,45,21.61,-0.0
45,1,46,21.61,0.0001
46,1,47,21.61,0.0005
47,1,48,21.61,0.0001
48,1,49,21.61,0.0005
49,1,50,21.61,-0.0001
50,1,51,21.61,0.0003
51,1,52,21.61,-0.0001
52,1,53,21.61,-0.0001
53,1,54,21.61,0.0005
54,1,55,21.61,-0.0
55,1,56,21.61,-0.0002
56,1,57,21.61,0.0
57,1,58,21.61,0.0001
58,1,59,21.61,0.0002
59,1,60,21.61,-0.0002
60,1,61,21.61,0.0005
61,1,62,21.61,0.0001
62,1,63,21.61,0.0002
63,1,64,21.61,0.0002
64,1,65,21.61,0.0005
65,1,66,21.61,-0.0004
66,1,67,21.61,-0.0004
67,1,68,21.61,0.0
68,1,69,21.61,0.0005
69,1,70,21.61,0.0002
70,1,71,21.61,-0.0003
71,1,72,21.61,0.0001
72,1,73,21.61,-0.0002
73,1,74,21.61,0.0001
74,1,75,21.61,-0.0004
75,1,76,21.61,0.0002
76,1,77,21.61,0.0004
77,1,78,21.61,0.0002
78,1,79,21.61,-0.0002
79,1,80,21.61,-0.0004
80,1,81,21.61,-0.0004
81,1,82,21.61,0.0001
82,1,83,21.61,0.0005
83,1,84,21.61,0.0002
84,1,85,21.61,0.0003
85,1,86,21.61,0.0004
86,1,87,21.61,-0.0004
87,1,88,21.61,0.0003
88,1,89,21.61,-0.0001
89,1,90,21.61,-0.0001
90,1,91,21.61,-0.0004
91,1,92,21.61,-0.0002
92,1,93,21.61,0.0002
93,1,94,21.61,0.0002
94,1,95,21.61,0.0003
95,1,96,21.61,0.0001
96,1,97,21.61,-0.0003
97,1,98,21.61,0.0004
98,1,99,21.61,-0.0
99,1,100,21.61,-0.0003
100,1,101,21.61,0.0003
